"X2.5.","X25.","X50.","X75.","X97.5.","groupSize","round","value","sizeCategory","indiv_small_large","taskDifficulty3","sizeCategory_string"
0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.192828876487266,0.290650412536329,0.344479466757853,0.485847876216022,0.712559872092356,1,2,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.176015536185999,0.303194723733902,0.420604154880612,0.553629991986466,0.79581744743848,1,3,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.177691063475445,0.341665311517285,0.472938212030931,0.595744525600341,0.839559488693552,1,4,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.185710229754269,0.37487160627664,0.511575519059058,0.63184099191328,0.865117141100527,1,5,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.192286115783192,0.405853710249837,0.539918942922146,0.67010727230462,0.882482458795459,1,6,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.202074256176304,0.433762534495459,0.564958272814398,0.696370302820288,0.896974311162184,1,7,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.210097586847714,0.460789666136683,0.588917719168394,0.719824539427819,0.905163803671638,1,8,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.232853161467805,0.480521318449458,0.611310305030911,0.736985484025927,0.917437418715298,1,9,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.247742830620256,0.499412800886234,0.630596391665737,0.752675075057063,0.925658445691639,1,10,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.268678149690216,0.515866457821003,0.644637705751651,0.765759206619234,0.935439613855117,1,11,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.27935413459019,0.529527768132634,0.659303934013694,0.778701408899087,0.938008604999762,1,12,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.289225516264939,0.544562455512909,0.671630105952803,0.7910705952453,0.944587651846607,1,13,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.298688805709098,0.556082833406341,0.684415711344329,0.800639604847785,0.95023761084037,1,14,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.313134048926091,0.566223359280636,0.693247131838777,0.809247012418809,0.9541628376285,1,15,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.323608575894663,0.575695668094827,0.702998890343784,0.818607428167429,0.957937637147544,1,16,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.333965510194301,0.585697873629229,0.712053644494127,0.82535521525611,0.961675684028282,1,17,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.342321605502295,0.59411276016551,0.720457030288055,0.831598229663398,0.965080707416814,1,18,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.349765672570096,0.601308565654513,0.726024673885989,0.838656750756502,0.966293429344407,1,19,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.358510862581483,0.608324927982748,0.735085121281552,0.844845494719492,0.968507106693726,1,20,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.367058244536598,0.617027339859721,0.744273678772249,0.8492921789718,0.971180140856625,1,21,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.368562949989813,0.624236184566079,0.746695256549246,0.856580706419604,0.973137586495484,1,22,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.378318861219482,0.631429549342004,0.754400131031357,0.862091651500914,0.976073251394139,1,23,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.378295346136918,0.634915390331204,0.757475714242982,0.866315718225207,0.977359388270201,1,24,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.390083265687663,0.639143427279462,0.765240568799259,0.871315035849871,0.978187017264189,1,25,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.391947051958848,0.643889533042614,0.770389651615916,0.876660447653175,0.980480112083051,1,26,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.399949762551365,0.649967029477631,0.775746583290607,0.881892471018277,0.98268990308242,1,27,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.404261912137551,0.654477010973728,0.780891402210135,0.885100628733472,0.983820194286728,1,28,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.409791987216863,0.656320632941477,0.784258393018122,0.889980040699747,0.985136893711399,1,29,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
0.422378009077754,0.663028233016096,0.789571911171014,0.893236925910092,0.986044888886028,1,30,"optimalChoiceProb",1,"Individual","Low Uncertainty","n = 1"
