"subject","round","AL6_annealing_indiv_netBeta_p2.5","AL6_annealing_indiv_netBeta_p25","AL6_annealing_indiv_netBeta_p50","AL6_annealing_indiv_netBeta_p75","AL6_annealing_indiv_netBeta_p97.5","amazonID"
1,1,0.190254134597227,0.737555200307648,1.02419209601843,1.2950187366962,1.95542990126734,"A10BH9PYCYUKDJ"
2,1,-1.13180100637231,0.104393290201085,0.588685035835349,1.0272675776845,2.28833073712091,"A10MH2GE01BXXE"
3,1,0.316428794245715,0.882704498687212,1.17745380368111,1.50354836415107,2.17664506238667,"A115A6OQBJFVVS"
4,1,1.07855186007115,1.79869378188882,2.33730151118476,3.02442267265041,5.11133747746611,"A11G1TGXX3YS24"
5,1,0.119351545861665,0.892935339120093,1.31614348218666,1.75509802833634,2.76560798076286,"A126UU7IXRJC95"
6,1,0.875831598131071,1.87922918012024,2.6268813020539,3.62283239148822,6.14545838715021,"A12U7YNO0GKNKZ"
7,1,0.614065955967806,1.1042839449806,1.38218229307822,1.69325800785007,2.38537058799927,"A13I8ASC3JQ04P"
8,1,0.690980534581744,1.50768972511448,2.06785125242363,2.74695091512752,4.53431901637068,"A142ZRU284W9O"
9,1,0.368386006164905,0.923535126540239,1.2335443651846,1.54207252536541,2.26215809360037,"A176SCS13Y7YOH"
10,1,0.000873358348808647,1.09778107642921,1.68961264563238,2.27187255351907,4.18170571918608,"A17J1CE7N49Z9D"
11,1,0.643832527731263,1.27186329415676,1.69959992127952,2.22017702760508,3.45345573399922,"A17KIXJGFCB7ZQ"
12,1,0.846742501453014,1.52668268533465,1.91732234279226,2.35087087430588,3.42933682302084,"A183WYXN12P2TJ"
13,1,-1.6247791127844,-0.282374892013396,0.617473756565486,1.59413413362447,3.1663231124457,"A19F72FI7KBTAT"
14,1,-0.271929691631059,0.366642782282908,0.672691616388195,0.978603075173002,1.65825829240729,"A1ANSQX6FV17XM"
15,1,-0.380665490665086,0.457061597157357,0.906738589725411,1.38004982975699,2.76365679122551,"A1B79AW7Z2QNHI"
16,1,0.69973155255019,1.19438838756356,1.50502233203235,1.83668231577112,2.70169364812154,"A1BE2EQFHHB22K"
17,1,0.856548302310777,1.7628642699216,2.28711369445083,2.97257825672523,5.05657432072516,"A1C6BL1O5L5LA9"
18,1,-2.72736510909036,-1.56279610182573,-1.04506011040822,-0.506681317298331,0.457991852256247,"A1CE2XPYCDRHVZ"
19,1,0.0890372451343272,0.714406525591992,1.02572319997929,1.35362029149632,2.08447531430324,"A1CIRAH2RTE7G8"
20,1,-0.0297772952600852,0.722977845232737,1.12291439649036,1.55117384244709,2.50485971385968,"A1CR8SFRWFZL39"
21,1,0.420782521038704,1.02070941467861,1.32542062362832,1.62634369667784,2.31734720212484,"A1DZLZE63NE1ZI"
22,1,0.220528544105377,0.843395304597365,1.18132328127769,1.55735928029744,2.56183312198543,"A1E4K9G6ZKPKX4"
23,1,-1.4842933038091,-0.16872418992142,0.30068711764893,0.752325766915829,1.95274432449487,"A1FF5C5BXODWSY"
24,1,0.232456639263693,0.9181692261255,1.27529502416804,1.70892264299647,2.64786095640978,"A1G8NSDKOSFEFW"
